client_id,ndc,lottery_winner,book_date,cottage,arrival,departure,days,weeks,extra_days,persons,total_days_person,season,nights_w,dayprice_w,weekprice_w,nights_d,dayprice_d,painting_week,discount,discount_euro,early_booking_discount,cottage_total,extra_bed,cleaning,phone,internet,other_charges,final_total,date_deposit_25_perct,deposit_25_perct,date_rest,rest_75_perct,arrival_week_day,departure_week_day
80,0.0,0.0,2010-09-02,Casa Basta,2010-10-21,2010-10-28,7.0,0.0,0.0,5.0,35.0,mid,7.0,0.0,0.0,0.0,0.0,590.0,0.0,0.0,0.0,590.0,0.0,0.0,0.0,0.0,0.0,590.0,2010-09-02,147.5,2010-09-14,442.5,3.0,3.0
66,0.0,0.0,2010-09-23,Casa Basta,2010-10-22,2010-10-29,7.0,0.0,0.0,1.0,7.0,mid,7.0,81.14285714285714,568.0,0.0,0.0,275.0,0.0,143.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,700.0,2000-01-01,0.0,2010-09-23,700.0,4.0,4.0
81,0.0,0.0,2010-10-11,Casa Valorosa,2010-10-16,2010-10-17,1.0,0.0,0.0,6.0,6.0,mid,0.0,0.0,0.0,1.0,90.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,90.0,2000-01-01,0.0,2010-10-11,90.0,5.0,6.0
82,0.0,0.0,2010-10-30,Casa Valorosa,2010-10-28,2010-11-01,4.0,0.0,0.0,2.0,8.0,mid,0.0,81.14285714285714,568.0,4.0,90.0,0.0,0.0,0.0,18.0,342.0,0.0,0.0,0.0,0.0,0.0,342.0,2010-10-30,342.0,2000-01-01,0.0,3.0,0.0
4,0.0,0.0,2010-10-21,Casa Basta,2011-04-01,2011-04-08,7.0,0.0,0.0,2.0,14.0,mid,7.0,113.85714285714286,797.0,0.0,0.0,0.0,0.0,0.0,38.0,759.0,0.0,60.0,0.0,21.0,0.0,819.0,2010-10-21,204.75,2011-03-07,614.25,4.0,4.0
17,0.0,0.0,2010-10-28,Casa Boa,2011-04-30,2011-05-17,17.0,0.0,0.0,2.0,34.0,mid,14.0,85.28571428571429,597.0,3.0,95.0,0.0,0.0,351.5,73.0,1054.5,0.0,0.0,0.0,0.0,0.0,1054.5,2010-10-28,370.31,2011-03-23,684.31,5.0,1.0
83,0.0,0.0,2010-11-12,Casa Basta,2011-09-11,2011-09-25,14.0,0.0,0.0,5.0,70.0,mid,14.0,113.85714285714286,797.0,0.0,0.0,0.0,0.0,0.0,76.0,1518.0,0.0,60.0,0.0,57.0,0.0,1578.0,2010-11-12,394.5,2011-08-14,1183.5,6.0,6.0
32,0.0,0.0,2010-11-15,Casa Marcanta,2011-04-21,2011-04-28,7.0,0.0,0.0,1.0,7.0,mid,7.0,0.0,0.0,0.0,0.0,620.0,0.0,71.0,30.0,519.0,0.0,0.0,0.0,0.0,0.0,519.0,2010-11-15,121.5,2011-04-02,397.5,3.0,3.0
67,0.0,0.0,2010-11-25,Casa Boa,2011-03-20,2011-04-03,14.0,0.0,0.0,3.0,42.0,mid,14.0,85.28571428571429,597.0,0.0,0.0,0.0,0.0,0.0,58.0,1136.0,0.0,60.0,0.0,42.0,0.0,1196.0,2010-11-25,299.0,2011-02-20,897.0,6.0,6.0
66,0.0,0.0,2010-12-06,Casa Boa,2011-07-22,2011-07-30,8.0,0.0,0.0,2.0,16.0,high,7.0,103.57142857142857,725.0,1.0,117.0,0.0,0.0,0.0,77.0,765.0,0.0,60.0,0.0,36.0,0.0,825.0,2010-12-06,206.25,2011-06-24,618.75,4.0,5.0
80,0.0,0.0,2010-12-09,Casa Basta,2011-10-06,2011-10-13,7.0,0.0,0.0,1.0,7.0,mid,7.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,30.0,590.0,0.0,0.0,0.0,0.0,0.0,590.0,2010-12-09,147.5,2011-09-08,442.5,3.0,3.0
1,0.0,0.0,2010-12-23,Casa Boa,2011-06-26,2011-07-17,21.0,0.0,0.0,3.0,63.0,high,21.0,103.57142857142857,725.0,0.0,0.0,0.0,0.0,395.7,0.0,1779.3,0.0,60.0,0.0,63.0,0.0,1839.3,2010-12-23,459.825,2011-05-29,1379.475,6.0,6.0
55,0.0,0.0,2010-12-31,Casa Marcanta,2011-08-09,2011-08-23,14.0,0.0,0.0,4.0,56.0,high,14.0,103.57142857142857,725.0,0.0,0.0,0.0,0.0,122.0,0.0,1328.0,0.0,60.0,0.0,0.0,0.0,1388.0,2010-12-31,347.0,2011-07-12,1041.0,1.0,1.0
32,0.0,0.0,2010-11-15,Casa Marcanta,2011-04-28,2011-05-10,12.0,0.0,0.0,4.0,48.0,mid,7.0,85.28571428571429,597.0,5.0,95.0,0.0,0.0,254.5,54.0,763.5,0.0,60.0,0.0,0.0,0.0,823.5,2000-01-01,0.0,2011-03-21,823.5,3.0,1.0
82,0.0,0.0,2011-01-31,Casa Marcanta,2011-10-18,2011-10-28,10.0,0.0,0.0,2.0,20.0,mid,7.0,85.28571428571429,597.0,3.0,95.0,0.0,0.0,85.9,0.0,796.1,0.0,60.0,0.0,0.0,0.0,856.1,2011-01-31,450.0,2011-09-29,406.1,1.0,4.0
84,0.0,0.0,2011-01-05,Casa Boa,2011-01-30,2011-02-06,7.0,0.0,0.0,2.0,14.0,low,7.0,70.28571428571429,492.00000000000006,0.0,0.0,0.0,0.0,73.8,0.0,418.20000000000005,0.0,60.0,0.0,0.0,0.0,478.20000000000005,2000-01-01,0.0,2011-01-05,478.20000000000005,6.0,6.0
85,0.0,0.0,2011-01-03,Casa Valorosa,2011-07-28,2011-08-03,6.0,0.0,0.0,6.0,36.0,high,0.0,0.0,0.0,6.0,117.0,0.0,0.0,66.0,0.0,636.0,0.0,60.0,0.0,18.0,0.0,696.0,2011-01-03,174.0,2011-07-05,522.0,3.0,2.0
86,0.0,0.0,2011-01-05,Casa Boa,2011-08-09,2011-08-23,14.0,0.0,0.0,4.0,56.0,high,14.0,103.57142857142857,725.0,0.0,0.0,0.0,0.0,122.0,0.0,1328.0,0.0,60.0,0.0,0.0,0.0,1388.0,2011-01-05,347.0,2011-07-14,1041.0,1.0,1.0
87,0.0,0.0,2011-01-05,Casa Basta and Casa Marcanta,2011-07-16,2011-07-30,14.0,0.0,0.0,6.0,84.0,high,14.0,138.28571428571428,968.0,0.0,0.0,0.0,0.0,0.0,0.0,1936.0,0.0,60.0,0.9,42.0,0.0,1996.0,2011-01-05,499.0,2011-06-02,1497.0,5.0,5.0
87,0.0,0.0,2011-01-05,Casa Marcanta,2011-07-16,2011-07-30,14.0,0.0,0.0,4.0,56.0,high,14.0,103.57142857142857,725.0,0.0,0.0,0.0,0.0,0.0,0.0,1450.0,0.0,60.0,0.0,42.0,0.0,1510.0,2011-01-05,377.5,2011-06-02,1132.5,5.0,5.0
88,0.0,0.0,2011-01-10,Casa Valorosa,2011-07-13,2011-07-27,14.0,0.0,0.0,4.0,56.0,high,14.0,103.57142857142857,725.0,0.0,0.0,0.0,0.0,0.0,0.0,1450.0,0.0,60.0,2.1,42.0,0.0,1510.0,2011-01-10,377.5,2011-06-14,1132.5,2.0,2.0
10,0.0,0.0,2011-02-01,Casa Basta,2011-04-13,2011-04-20,7.0,0.0,0.0,5.0,35.0,mid,7.0,113.85714285714286,797.0,0.0,0.0,0.0,0.0,0.0,0.0,797.0,0.0,60.0,0.0,21.0,0.0,857.0,2011-02-01,214.25,2011-03-23,642.75,2.0,2.0
89,0.0,0.0,2011-01-31,Casa Basta,2011-07-30,2011-08-13,14.0,0.0,0.0,5.0,70.0,high,14.0,138.28571428571428,968.0,0.0,0.0,0.0,0.0,0.0,0.0,1936.0,0.0,60.0,0.0,0.0,0.0,1996.0,2011-01-31,499.0,2011-06-27,1497.0,5.0,5.0
90,0.0,0.0,2011-02-01,Casa Boa,2011-06-05,2011-06-15,10.0,0.0,0.0,2.0,20.0,mid,7.0,85.28571428571429,597.0,3.0,95.0,0.0,0.0,132.3,0.0,749.7,0.0,60.0,66.3,30.0,0.0,809.7,2011-02-01,202.425,2011-05-02,607.2750000000001,6.0,2.0
